Resumen de training_data_v5 (6 filas x 2001 cols)
--------------------------------------------------
Col 210: Min=0.000 | Max=41.556 | Mean=10.599 | Infs=0 | NaNs=0
Col 211: Min=0.000 | Max=41.461 | Mean=10.413 | Infs=0 | NaNs=0
Col 212: Min=0.240 | Max=35.652 | Mean=9.398 | Infs=0 | NaNs=0
Col 213: Min=0.160 | Max=25.000 | Mean=8.116 | Infs=0 | NaNs=0
Col 214: Min=0.000 | Max=41.286 | Mean=10.718 | Infs=0 | NaNs=0
Col 215: Min=-0.000 | Max=41.145 | Mean=10.771 | Infs=0 | NaNs=0
Col 216: Min=0.000 | Max=41.346 | Mean=10.791 | Infs=0 | NaNs=0
Col 217: Min=0.000 | Max=41.509 | Mean=10.808 | Infs=0 | NaNs=0
Col 218: Min=0.000 | Max=41.645 | Mean=10.818 | Infs=0 | NaNs=0
Col 219: Min=0.000 | Max=41.659 | Mean=10.810 | Infs=0 | NaNs=0
Col 220: Min=0.000 | Max=41.659 | Mean=10.810 | Infs=0 | NaNs=0
Col 221: Min=0.000 | Max=41.406 | Mean=10.744 | Infs=0 | NaNs=0
Col 222: Min=-0.000 | Max=41.215 | Mean=10.702 | Infs=0 | NaNs=0
Col 223: Min=0.000 | Max=40.917 | Mean=10.639 | Infs=0 | NaNs=0
Col 224: Min=0.120 | Max=38.050 | Mean=10.253 | Infs=0 | NaNs=0
Col 225: Min=0.953 | Max=32.413 | Mean=11.841 | Infs=0 | NaNs=0
Col 226: Min=-0.158 | Max=40.336 | Mean=10.623 | Infs=0 | NaNs=0
Col 227: Min=-1.120 | Max=25.000 | Mean=8.090 | Infs=0 | NaNs=0
Col 228: Min=-0.518 | Max=38.378 | Mean=10.250 | Infs=0 | NaNs=0
Col 229: Min=0.000 | Max=41.406 | Mean=10.744 | Infs=0 | NaNs=0
Col 230: Min=0.000 | Max=41.406 | Mean=10.744 | Infs=0 | NaNs=0
Col 231: Min=0.000 | Max=41.406 | Mean=10.744 | Infs=0 | NaNs=0
Col 232: Min=-0.000 | Max=41.215 | Mean=10.702 | Infs=0 | NaNs=0
Col 233: Min=-0.000 | Max=40.991 | Mean=10.655 | Infs=0 | NaNs=0
Col 234: Min=0.120 | Max=40.029 | Mean=10.534 | Infs=0 | NaNs=0
Col 235: Min=0.120 | Max=36.921 | Mean=10.078 | Infs=0 | NaNs=0
Col 236: Min=-1.128 | Max=25.000 | Mean=7.952 | Infs=0 | NaNs=0
Col 237: Min=-0.970 | Max=25.000 | Mean=8.202 | Infs=0 | NaNs=0
Col 238: Min=-1.042 | Max=25.000 | Mean=8.070 | Infs=0 | NaNs=0
Col 239: Min=-1.130 | Max=25.000 | Mean=7.945 | Infs=0 | NaNs=0
Col 240: Min=0.000 | Max=41.667 | Mean=10.814 | Infs=0 | NaNs=0
Col 241: Min=0.120 | Max=25.000 | Mean=8.130 | Infs=0 | NaNs=0
Col 242: Min=1.112 | Max=25.000 | Mean=10.592 | Infs=0 | NaNs=0
Col 243: Min=0.000 | Max=40.917 | Mean=10.639 | Infs=0 | NaNs=0
Col 244: Min=0.000 | Max=41.071 | Mean=10.759 | Infs=0 | NaNs=0
Col 245: Min=0.000 | Max=40.917 | Mean=10.739 | Infs=0 | NaNs=0
Col 246: Min=-0.158 | Max=40.336 | Mean=10.623 | Infs=0 | NaNs=0
Col 247: Min=-0.407 | Max=39.065 | Mean=10.380 | Infs=0 | NaNs=0
Col 248: Min=1.122 | Max=25.000 | Mean=10.620 | Infs=0 | NaNs=0
Col 249: Min=1.122 | Max=25.000 | Mean=10.620 | Infs=0 | NaNs=0
Col 250: Min=0.000 | Max=41.645 | Mean=10.804 | Infs=0 | NaNs=0
Col 251: Min=-1.129 | Max=25.000 | Mean=7.948 | Infs=0 | NaNs=0
Col 252: Min=-1.127 | Max=25.000 | Mean=7.965 | Infs=0 | NaNs=0
Col 253: Min=0.000 | Max=41.556 | Mean=10.813 | Infs=0 | NaNs=0
Col 254: Min=0.120 | Max=27.875 | Mean=8.615 | Infs=0 | NaNs=0
Col 255: Min=1.119 | Max=25.000 | Mean=10.610 | Infs=0 | NaNs=0
Col 256: Min=0.000 | Max=41.667 | Mean=10.814 | Infs=0 | NaNs=0
Col 257: Min=-1.129 | Max=25.000 | Mean=7.948 | Infs=0 | NaNs=0
Col 258: Min=-1.127 | Max=25.000 | Mean=7.969 | Infs=0 | NaNs=0
Col 259: Min=0.000 | Max=41.509 | Mean=10.808 | Infs=0 | NaNs=0
Col 260: Min=0.120 | Max=30.330 | Mean=9.018 | Infs=0 | NaNs=0
Col 261: Min=1.120 | Max=25.000 | Mean=10.613 | Infs=0 | NaNs=0
Col 262: Min=0.000 | Max=41.622 | Mean=10.817 | Infs=0 | NaNs=0
